GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADM2PCODE;POP2019;IPUMS_2
BEN;Benin;Plateau;BEN.11_1;Ifangni;Commune;BEN.11.2_1;BJ.PL.IF;BJ1102;131765;204011002
BEN;Benin;Plateau;BEN.11_1;Kétou;Commune;BEN.11.3_1;BJ.PL.KE;BJ1103;186836;204011003
BEN;Benin;Plateau;BEN.11_1;Pobè;Commune;BEN.11.4_1;BJ.PL.PB;BJ1104;146853;204011004
BEN;Benin;Plateau;BEN.11_1;Sakété;Commune;BEN.11.5_1;BJ.PL.SA;BJ1105;135466;204011005
BEN;Benin;Zou;BEN.12_1;Abomey;Commune;BEN.12.1_1;BJ.ZO.AB;BJ1201;109551;204012001
BEN;Benin;Zou;BEN.12_1;Agbangnizoun;Commune;BEN.12.2_1;BJ.ZO.AG;BJ1202;86142;204012002
BEN;Benin;Zou;BEN.12_1;Bohicon;Commune;BEN.12.3_1;BJ.ZO.BO;BJ1203;203967;204012003
BEN;Benin;Zou;BEN.12_1;Covè;Commune;BEN.12.4_1;BJ.ZO.CO;BJ1204;60849;204012004
BEN;Benin;Zou;BEN.12_1;Djidja;Commune;BEN.12.5_1;BJ.ZO.DJ;BJ1205;146692;204012005
BEN;Benin;Zou;BEN.12_1;Ouinhi;Commune;BEN.12.6_1;BJ.ZO.ON;BJ1206;70507;204012006
BEN;Benin;Zou;BEN.12_1;Za-Kpota;Commune;BEN.12.7_1;BJ.ZO.ZK;BJ1207;157705;204012007
BEN;Benin;Zou;BEN.12_1;Zagnanado;Commune;BEN.12.8_1;BJ.ZO.ZN;BJ1208;65380;204012008
BEN;Benin;Zou;BEN.12_1;Zogbodomey;Commune;BEN.12.9_1;BJ.ZO.ZB;BJ1209;110347;204012009
