"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"TYPE_2";"GID_2";"HASC_2"
"BEN";"Benin";"Atlantique";"BEN.3_1";"Ouidah";"Commune";"BEN.3.4_1";"BJ.AQ.OU"
"BEN";"Benin";"Atlantique";"BEN.3_1";"Sô-Ava";"Commune";"BEN.3.5_1";"BJ.AQ.SA"
"BEN";"Benin";"Atlantique";"BEN.3_1";"Toffo";"Commune";"BEN.3.6_1";"BJ.AQ.TF"
"BEN";"Benin";"Atlantique";"BEN.3_1";"Tori-Bossito";"Commune";"BEN.3.7_1";"BJ.AQ.TB"
"BEN";"Benin";"Atlantique";"BEN.3_1";"Zè";"Commune";"BEN.3.8_1";"BJ.AQ.ZE"
"BEN";"Benin";"Borgou";"BEN.4_1";"Bembèrèkè";"Commune";"BEN.4.1_1";"BJ.BO.BE"
"BEN";"Benin";"Borgou";"BEN.4_1";"Kalalé";"Commune";"BEN.4.2_1";"BJ.BO.KL"
"BEN";"Benin";"Borgou";"BEN.4_1";"N'Dali";"Commune";"BEN.4.3_1";"BJ.BO.ND"
"BEN";"Benin";"Borgou";"BEN.4_1";"Nikki";"Commune";"BEN.4.4_1";"BJ.BO.NI"
"BEN";"Benin";"Borgou";"BEN.4_1";"Parakou";"Commune";"BEN.4.5_1";"BJ.BO.PA"
"BEN";"Benin";"Borgou";"BEN.4_1";"Pèrèrè";"Commune";"BEN.4.6_1";"BJ.BO.PE"
"BEN";"Benin";"Borgou";"BEN.4_1";"Sinendé";"Commune";"BEN.4.7_1";"BJ.BO.SI"
"BEN";"Benin";"Borgou";"BEN.4_1";"Tchaourou";"Commune";"BEN.4.8_1";"BJ.BO.TC"
"BEN";"Benin";"Collines";"BEN.5_1";"Bantè";"Commune";"BEN.5.1_1";"BJ.CL.BA"
"BEN";"Benin";"Collines";"BEN.5_1";"Dassa-Zoumè";"Commune";"BEN.5.2_1";"BJ.CL.DZ"
"BEN";"Benin";"Collines";"BEN.5_1";"Glazoué";"Commune";"BEN.5.3_1";"BJ.CL.GL"
"BEN";"Benin";"Collines";"BEN.5_1";"Ouèssè";"Commune";"BEN.5.4_1";"BJ.CL.OS"
"BEN";"Benin";"Collines";"BEN.5_1";"Savalou";"Commune";"BEN.5.5_1";"BJ.CL.SL"
"BEN";"Benin";"Collines";"BEN.5_1";"Savè";"Commune";"BEN.5.6_1";"BJ.CL.SE"
"BEN";"Benin";"Donga";"BEN.6_1";"Bassila";"Commune";"BEN.6.1_1";"BJ.DO.BA"
"BEN";"Benin";"Donga";"BEN.6_1";"Copargo";"Commune";"BEN.6.2_1";"BJ.DO.CP"
"BEN";"Benin";"Donga";"BEN.6_1";"Djougou Rural";NA;"BEN.6.5_1";NA
"BEN";"Benin";"Donga";"BEN.6_1";"Djougou Urbain";NA;"BEN.6.6_1";NA
"BEN";"Benin";"Donga";"BEN.6_1";"Ouaké";"Commune";"BEN.6.4_1";"BJ.DO.OU"
"BEN";"Benin";"Kouffo";"BEN.7_1";"Aplahoué";"Commune";"BEN.7.1_1";"BJ.CF.AP"
"BEN";"Benin";"Kouffo";"BEN.7_1";"Djakotomey";"Commune";"BEN.7.2_1";NA
"BEN";"Benin";"Kouffo";"BEN.7_1";"Dogbo";"Commune";"BEN.9.6_1";"BJ.CF.DO"
"BEN";"Benin";"Kouffo";"BEN.7_1";"Klouékanmè";"Commune";"BEN.7.4_1";"BJ.CF.KL"
"BEN";"Benin";"Kouffo";"BEN.7_1";"Lalo";"Commune";"BEN.7.5_1";"BJ.CF.LA"
"BEN";"Benin";"Kouffo";"BEN.7_1";"Toviklin";"Commune";"BEN.7.6_1";"BJ.CF.TO"
"BEN";"Benin";"Littoral";"BEN.8_1";"Cotonou";"Commune";"BEN.8.1_1";"BJ.LI.CO"
"BEN";"Benin";"Mono";"BEN.9_1";"Athiémè";"Commune";"BEN.9.1_1";"BJ.MO.AT"
"BEN";"Benin";"Mono";"BEN.9_1";"Bopa";"Commune";"BEN.9.2_1";"BJ.MO.BO"
"BEN";"Benin";"Mono";"BEN.9_1";"Comè";"Commune";"BEN.9.3_1";"BJ.MO.CO"
"BEN";"Benin";"Mono";"BEN.9_1";"Grand-Popo";"Commune";"BEN.9.4_1";"BJ.MO.GP"
"BEN";"Benin";"Mono";"BEN.9_1";"Houéyogbé";"Commune";"BEN.9.5_1";"BJ.MO.HO"
"BEN";"Benin";"Mono";"BEN.9_1";"Lokossa";NA;"BEN.9.7_1";NA
"BEN";"Benin";"Ouémé";"BEN.10_1";"Adjarra";"Commune";"BEN.10.1_1";"BJ.OU.AA"
"BEN";"Benin";"Ouémé";"BEN.10_1";"Adjohoun";"Commune";"BEN.10.2_1";"BJ.OU.AH"
"BEN";"Benin";"Ouémé";"BEN.10_1";"Aguégués";"Commune";"BEN.10.3_1";"BJ.OU.AG"
"BEN";"Benin";"Ouémé";"BEN.10_1";"Akpro-Missérété";"Commune";"BEN.10.4_1";"BJ.OU.AM"
"BEN";"Benin";"Ouémé";"BEN.10_1";"Avrankou";"Commune";"BEN.10.5_1";"BJ.OU.AV"
"BEN";"Benin";"Ouémé";"BEN.10_1";"Bonou";"Commune";"BEN.10.6_1";"BJ.OU.BO"
"BEN";"Benin";"Ouémé";"BEN.10_1";"Dangbo";"Commune";"BEN.10.7_1";"BJ.OU.DA"
"BEN";"Benin";"Ouémé";"BEN.10_1";"Porto-Novo";"Commune";"BEN.10.8_1";"BJ.OU.PN"
"BEN";"Benin";"Ouémé";"BEN.10_1";"Sèmè-Kpodji";"Commune";"BEN.10.9_1";"BJ.OU.SK"
"BEN";"Benin";"Plateau";"BEN.11_1";"Adja-Ouèrè";"Commune";"BEN.11.1_1";"BJ.PL.AO"
"BEN";"Benin";"Plateau";"BEN.11_1";"Ifangni";"Commune";"BEN.11.2_1";"BJ.PL.IF"
"BEN";"Benin";"Plateau";"BEN.11_1";"Kétou";"Commune";"BEN.11.3_1";"BJ.PL.KE"
"BEN";"Benin";"Plateau";"BEN.11_1";"Pobè";"Commune";"BEN.11.4_1";"BJ.PL.PB"
"BEN";"Benin";"Plateau";"BEN.11_1";"Sakété";"Commune";"BEN.11.5_1";"BJ.PL.SA"
"BEN";"Benin";"Zou";"BEN.12_1";"Abomey";"Commune";"BEN.12.1_1";"BJ.ZO.AB"
"BEN";"Benin";"Zou";"BEN.12_1";"Agbangnizoun";"Commune";"BEN.12.2_1";"BJ.ZO.AG"
"BEN";"Benin";"Zou";"BEN.12_1";"Bohicon";"Commune";"BEN.12.3_1";"BJ.ZO.BO"
"BEN";"Benin";"Zou";"BEN.12_1";"Covè";"Commune";"BEN.12.4_1";"BJ.ZO.CO"
"BEN";"Benin";"Zou";"BEN.12_1";"Djidja";"Commune";"BEN.12.5_1";"BJ.ZO.DJ"
"BEN";"Benin";"Zou";"BEN.12_1";"Ouinhi";"Commune";"BEN.12.6_1";"BJ.ZO.ON"
"BEN";"Benin";"Zou";"BEN.12_1";"Za-Kpota";"Commune";"BEN.12.7_1";"BJ.ZO.ZK"
"BEN";"Benin";"Zou";"BEN.12_1";"Zagnanado";"Commune";"BEN.12.8_1";"BJ.ZO.ZN"
"BEN";"Benin";"Zou";"BEN.12_1";"Zogbodomey";"Commune";"BEN.12.9_1";"BJ.ZO.ZB"
